State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Totals
Alabama,73218,77411,55486,41239,36157,44976,48927,42455,41336,43251,50477,62014,616947
Alaska,6085,6779,6982,6867,5991,7406,6793,7194,6867,9383,8514,8786,87647
Arizona,31910,35307,35795,32005,28671,32540,34496,33422,33390,34134,39722,44887,416279
Arkansas,20437,27506,24390,19048,16422,18779,19378,21692,18826,22709,26901,29926,266014
California,220912,214844,201041,171256,166035,173846,190218,176770,159077,180968,224039,298161,2377167
Colorado,48214,47302,46430,41636,36512,41134,43094,40996,40013,45337,54418,55428,540514
Connecticut,31712,32110,35332,32657,29247,33475,29755,27353,14955,16048,17223,17825,317692
Delaware,4886,5173,4986,4316,4355,4987,4494,4169,4160,5757,5791,6356,59430
District of Columbia,82,95,85,69,110,72,60,62,52,61,56,71,875
Florida,125935,132010,119207,104114,94732,125567,125208,114446,102843,111657,134638,144983,1435340
Georgia,62707,66777,55396,41265,33740,42626,49183,44370,41621,48308,58723,68269,612985
Guam,176,141,188,160,194,164,173,170,189,220,176,172,2123
Hawaii,1383,1424,1469,1453,1316,1754,1565,1305,1247,1277,1347,1141,16681
Idaho,13197,15520,13824,10638,8658,12947,12154,11635,12611,14160,13965,17034,156343
Illinois,189400,169908,175762,154306,119574,164500,168227,185912,127535,169348,161604,137994,1924070
Indiana,230892,221556,151821,126579,119897,94326,88340,79202,63820,72085,92535,95672,1436725
Iowa,26714,23728,23526,15435,12578,12209,11937,12518,12094,14908,18540,18090,202277
Kansas,19443,19817,16593,13227,10559,12364,14140,13770,14051,17656,22646,22282,196548
Kentucky,302383,266913,321318,306214,321666,360293,363085,29746,298753,378973,330444,397059,3676847
Louisiana,32192,32939,26552,23719,20462,26278,41063,30716,33656,32820,39979,51493,391869
Maine,8844,9868,9429,8567,6572,7858,7702,8204,10550,12954,10506,10528,111582
Mariana Islands,3,1,1,0,1,1,1,3,1,1,4,0,17
Maryland,13321,14735,14546,13007,11176,11647,12228,12510,12161,14405,17647,17984,165367
Massachusetts,20208,17835,20450,17505,15449,17743,20480,18138,17481,19500,21581,19842,226212
Michigan,56723,61421,59827,48163,37823,39580,40142,41493,41363,49099,56137,47834,579605
Minnesota,50842,50144,56311,57100,42135,47916,43368,51700,58507,70854,62666,60056,651599
Mississippi,21330,28656,21727,17182,15159,17507,21907,26351,19705,21433,29113,36091,276161
Missouri,61257,67682,64449,49098,40752,45384,46637,44182,41437,50651,57501,63289,632319
Montana,10722,12644,11967,10728,9551,10610,9869,10672,11479,13411,12074,12610,136337
Nebraska,11116,8576,8315,6280,4956,5777,5429,6405,6099,7834,9086,8790,88663
Nevada,12291,14342,13550,11803,10105,11771,11785,10520,10434,12026,14476,14889,147992
New Hampshire,16887,14577,14498,12630,10869,12661,13068,12039,13329,15045,15256,14305,165164
New Jersey,8683,9811,11138,10465,9770,10806,10074,9728,9309,10175,11317,10577,121853
New Mexico,12577,16662,13999,12421,10847,12560,12219,12341,11867,13089,15116,17518,161216
New York,34071,34195,34781,31789,26336,28472,29513,30808,33599,37907,43009,40292,404772
North Carolina,51646,58096,53581,43592,38727,44535,44123,46518,46452,49372,59658,65145,601445
North Dakota,5877,5799,6281,6039,4620,6568,5470,5461,5883,7283,6494,6261,72036
Ohio,76218,90222,85267,71881,58406,60366,63148,62418,58828,71864,88928,88178,875724
Oklahoma,34889,37589,29112,26489,21379,26167,25946,25927,25309,28578,40123,43082,364590
Oregon,26378,28869,27093,23132,21266,25502,24813,22911,26487,28948,33555,35754,324708
Pennsylvania,102170,104116,105145,88140,70244,80806,86137,86652,86424,103095,118378,111913,1143220
Puerto Rico,1133,1088,1188,1185,1202,1298,1331,1370,1383,1429,1590,1664,15861
Rhode Island,2617,2392,2516,2125,1648,2302,2368,2090,2052,2448,2658,2542,27758
South Carolina,31396,39376,38503,30929,24923,30209,32730,31389,28988,31780,39711,43044,402978
South Dakota,10220,10732,9178,8275,6403,7519,7406,7873,9284,12670,11622,10739,111921
Tennessee,62789,68503,51955,57837,44044,56218,57653,60971,48546,56652,74722,74884,714774
Texas,164088,192417,152465,126292,104134,120263,127207,124608,126694,144467,157519,181572,1721726
Utah,19968,22999,30548,30706,24045,28189,17608,21178,19914,23339,26928,29485,294907
Vermont,3451,4173,3861,3220,2247,2688,2674,2724,3130,3769,3503,3977,39417
Virgin Islands,100,115,90,85,112,106,105,90,75,66,76,67,1087
Virginia,44181,47955,42741,36219,30787,37593,43574,38667,38779,46862,58362,62649,528369
Washington,58050,56043,126000,65565,41282,50487,47887,46645,48147,57746,56963,59181,713996
West Virginia,18985,27216,22143,17825,14918,16423,16791,17315,18079,20035,25378,27242,242350
Wisconsin,39561,42855,44925,38403,27431,30747,38922,53689,59639,63442,65277,56928,561819
Wyoming,5676,5703,5302,5029,4504,4812,4585,5295,5086,5228,5814,6560,63594
