State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Totals
Alabama,41542,46251,48769,32652,33331,35687,31474,35038,32019,36619,47418,56545,477345
Alaska,4500,5917,6971,6983,6442,6353,6487,6946,6303,8080,7527,8330,80839
Arizona,31366,37388,38170,32052,28734,28359,25714,29376,28394,29277,34541,41559,384930
Arkansas,16762,22548,23290,16452,16749,16614,14015,17517,17747,20327,26049,29559,237629
California,130365,129885,146592,132190,129307,130187,114595,130901,123506,119395,140695,142492,1570110
Colorado,37047,43577,45645,39989,36008,36459,33811,37150,35873,40163,51473,59800,496995
Connecticut,15073,15209,18787,16406,16149,16504,14525,14019,12117,13201,14334,15455,181779
Delaware,4299,5066,5527,4296,4012,3634,2981,3509,3502,3692,4577,5544,50639
District of Columbia,81,93,111,104,82,74,68,80,61,217,365,204,1540
Florida,104576,117892,122716,103641,96556,100508,92822,96664,77390,103032,123397,137355,1276549
Georgia,44615,53177,57235,37829,36905,39874,35085,38830,35371,43293,54950,64491,541655
Guam,205,132,136,147,157,156,145,159,135,135,127,181,1815
Hawaii,866,1037,1090,888,1117,1083,1109,1079,948,1235,1171,1119,12742
Idaho,11146,14936,16675,15234,13065,20241,11871,13341,14938,15130,15772,19750,182099
Illinois,138008,139697,163728,135507,121746,113889,108000,126921,116449,122798,150588,163756,1601087
Indiana,80412,136193,79624,63298,54347,49689,47145,47649,48524,55336,75879,92261,830357
Iowa,15707,15025,20026,13017,10232,8352,8801,9416,9975,14012,17182,19236,160981
Kansas,15049,19211,17891,15139,12337,13485,13775,13097,12856,15018,20460,23133,191451
Kentucky,345924,313748,397959,392685,391740,392002,390494,394718,398706,401155,404508,417841,4641480
Louisiana,27709,27684,29310,22065,21311,23497,20454,24694,27821,27436,35485,41735,329201
Maine,6865,7731,9632,8115,7200,6474,5837,7751,8715,10328,8578,9364,96590
Mariana Islands,2,0,11,13,12,12,13,27,16,9,21,23,159
Maryland,13368,14852,15769,13182,11660,10945,10088,11561,11255,13651,16266,16062,158659
Massachusetts,19996,18130,21059,17866,16651,15841,12900,16258,15460,16842,17548,17941,206492
Michigan,39067,48382,54452,41939,38548,37088,33378,39255,36944,44262,54350,45578,513243
Minnesota,85322,62051,77749,71484,55570,44775,41186,46613,44552,55012,48087,51143,683544
Mississippi,17113,24043,24421,16803,15680,17154,14388,21963,17491,19080,28188,35528,251852
Missouri,39098,50850,52928,40019,34965,36752,32415,37449,37571,43987,56129,62810,524973
Montana,7994,10386,12396,10293,9418,9901,7890,9618,10283,11673,11107,12979,123938
Nebraska,6205,7122,7337,5745,5025,4265,4266,5209,5345,6543,8303,8953,74318
Nevada,10013,11765,14158,10588,9803,10602,8310,9035,9460,10198,12064,13626,129622
New Hampshire,12067,12282,13529,10792,8868,9184,8333,9313,10689,10371,11627,12035,129090
New Jersey,9274,9601,10993,9119,8694,7790,7034,7443,7165,7852,9433,9341,103739
New Mexico,10966,15364,14963,12748,11291,11398,10580,11690,12491,13543,16110,18635,159779
New York,31567,31910,35608,33113,31294,27677,25576,28779,30703,32615,37306,36347,382495
North Carolina,46548,51627,55574,39992,39413,39169,34784,41122,37325,43211,51839,57209,537813
North Dakota,4933,6193,6461,6504,4654,4939,4136,4874,5212,6209,6334,6528,66977
Ohio,58574,74257,81153,66800,56229,53164,49432,51103,49942,56960,76732,78726,753072
Oklahoma,24547,30840,30518,27478,22693,24632,20738,24061,23371,25822,38406,41245,334351
Oregon,22210,29183,32423,27936,26466,27103,23239,24904,27277,27786,34103,38537,341167
Pennsylvania,85948,95585,110334,85908,79725,76201,73654,79020,77003,87064,104479,107730,1062651
Puerto Rico,1332,1259,1560,1387,1600,1631,1381,1490,791,1306,2307,2767,18811
Rhode Island,2147,2354,2553,2133,1883,1899,1646,1718,1799,2103,2173,2269,24677
South Carolina,31829,41969,43113,30218,31248,32995,26567,31663,25930,28996,34132,38260,396920
South Dakota,7614,9754,9770,7857,7004,6704,6068,6686,7457,9244,9908,10507,98573
Tennessee,83613,69264,74655,57852,57763,52959,52643,49945,50945,55531,74800,87983,767953
Texas,117903,137470,144270,109961,109732,118091,98338,110946,128260,129869,163358,181236,1549434
Utah,18314,24889,26941,23177,23844,22138,17925,22010,20041,19619,24359,27220,270477
Vermont,2691,3594,4051,3818,2577,2382,2275,2676,3084,3463,3240,3759,37610
Virgin Islands,88,106,96,111,79,153,151,132,9,68,86,131,1210
Virginia,37369,47038,49368,48631,36007,36838,36183,39114,36446,40293,53142,60398,520827
Washington,46027,52154,58069,47895,45816,46023,38369,42120,43049,48147,53072,58937,579678
West Virginia,15772,22449,22529,16988,15085,14498,13970,14770,16723,18256,24455,27273,222768
Wisconsin,46775,50720,58739,45872,37888,36267,32846,40924,37506,43183,48683,47120,526523
Wyoming,3705,4554,5315,4269,4128,3975,3398,4111,4281,4370,5665,6940,54711
